127.0.0.1, 2018-06-28 17:55:42, GET, /Raynime/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:55:42, GET, /Raynime/static/js/calendar.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:55:42, GET, /Raynime/static/js/web2py.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:55:42, GET, /Raynime/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 17:55:42, GET, /Raynime/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:55:42, GET, /Raynime/static/images/twitter.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 17:55:42, GET, /Raynime/static/images/facebook.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 18:14:22, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2018-06-28 18:14:22, GET, /welcome/default/index, HTTP/1.1, 200, 0.157000
127.0.0.1, 2018-06-28 18:14:22, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 18:14:22, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 18:14:22, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 18:14:22, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 18:14:22, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.001000

127.0.0.1, 2018-06-28 18:14:22, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 18:14:22, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 18:14:22, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 18:14:22, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 18:14:22, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 18:14:22, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 18:14:27, GET, /Raynime/default/index, HTTP/1.1, 200, 0.070000
127.0.0.1, 2018-06-28 18:14:27, GET, /Raynime/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 18:14:27, GET, /Raynime/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2018-06-28 18:14:27, GET, /Raynime/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 18:14:27, GET, /Raynime/static/js/jquery.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2018-06-28 18:14:27, GET, /Raynime/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 18:14:27, GET, /Raynime/static/js/calendar.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 18:14:27, GET, /Raynime/static/js/web2py.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 18:14:27, GET, /Raynime/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 18:14:27, GET, /Raynime/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 18:14:27, GET, /Raynime/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 18:14:27, GET, /Raynime/static/images/twitter.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 18:14:27, GET, /Raynime/static/images/facebook.png, HTTP/1.1, 304, 0.001000
